,company,company_url,screener url
2260,JDORGOCHEM,/company/JDORGOCHEM/,https://www.screener.in/company/JDORGOCHEM/
2261,CREATIVEYE,/company/CREATIVEYE/,https://www.screener.in/company/CREATIVEYE/
2262,SHPRE,/company/SHPRE/,https://www.screener.in/company/SHPRE/
2263,ALPSINDUS,/company/ALPSINDUS/consolidated/,https://www.screener.in/company/ALPSINDUS/consolidated/
2264,SHUKRADIAM,/company/SHUKRADIAM/,https://www.screener.in/company/SHUKRADIAM/
2265,UNIVAFOODS,/company/UNIVAFOODS/,https://www.screener.in/company/UNIVAFOODS/
2266,RAMGOPOLY,/company/RAMGOPOLY/,https://www.screener.in/company/RAMGOPOLY/
2267,MOHOTAIND,/company/MOHOTAIND/,https://www.screener.in/company/MOHOTAIND/
2268,FGPIND,/company/FGPIND/,https://www.screener.in/company/FGPIND/
2269,ARAVALISEC,/company/ARAVALISEC/,https://www.screener.in/company/ARAVALISEC/
2270,DRL,/company/DRL/consolidated/,https://www.screener.in/company/DRL/consolidated/
2271,GOVINRUBER,/company/GOVINRUBER/,https://www.screener.in/company/GOVINRUBER/
2272,HARIAEXPO,/company/HARIAEXPO/,https://www.screener.in/company/HARIAEXPO/
2273,SKSTEXTILE,/company/SKSTEXTILE/,https://www.screener.in/company/SKSTEXTILE/
2274,BAKELHYLAM,/company/BAKELHYLAM/,https://www.screener.in/company/BAKELHYLAM/
2275,PAEL,/company/PAEL/,https://www.screener.in/company/PAEL/
2276,GUJCOTEX,/company/GUJCOTEX/,https://www.screener.in/company/GUJCOTEX/
2277,TRANSWIND,/company/TRANSWIND/,https://www.screener.in/company/TRANSWIND/
2278,SABTN,/company/SABTN/consolidated/,https://www.screener.in/company/SABTN/consolidated/
2279,BKMINDST,/company/BKMINDST/consolidated/,https://www.screener.in/company/BKMINDST/consolidated/
2280,KANDAGIRI,/company/KANDAGIRI/,https://www.screener.in/company/KANDAGIRI/
2281,AHIMSA,/company/AHIMSA/,https://www.screener.in/company/AHIMSA/
2282,TATIASKYLN,/company/TATIASKYLN/,https://www.screener.in/company/TATIASKYLN/
2283,LAKPRE,/company/LAKPRE/,https://www.screener.in/company/LAKPRE/
2284,CEENIKEXPO,/company/CEENIKEXPO/,https://www.screener.in/company/CEENIKEXPO/
2285,VASA,/company/VASA/,https://www.screener.in/company/VASA/
2286,SHRERAJSYN,/company/SHRERAJSYN/,https://www.screener.in/company/SHRERAJSYN/
2287,SABEVENTS,/company/SABEVENTS/,https://www.screener.in/company/SABEVENTS/
2288,VBDESAIFIN,/company/VBDESAIFIN/,https://www.screener.in/company/VBDESAIFIN/
2289,BGLOBAL,/company/BGLOBAL/consolidated/,https://www.screener.in/company/BGLOBAL/consolidated/
2290,INNOVATIVE,/company/INNOVATIVE/,https://www.screener.in/company/INNOVATIVE/
2291,PRIYADYES,/company/PRIYADYES/,https://www.screener.in/company/PRIYADYES/
2292,RAMAPETRO,/company/RAMAPETRO/consolidated/,https://www.screener.in/company/RAMAPETRO/consolidated/
2293,MELSTAR,/company/MELSTAR/,https://www.screener.in/company/MELSTAR/
2294,PADMALAYAT,/company/PADMALAYAT/,https://www.screener.in/company/PADMALAYAT/
2295,ORTEL,/company/ORTEL/,https://www.screener.in/company/ORTEL/
2296,GANGOTRI,/company/GANGOTRI/,https://www.screener.in/company/GANGOTRI/
2297,INDLMETER,/company/INDLMETER/consolidated/,https://www.screener.in/company/INDLMETER/consolidated/
2298,KANELOIL,/company/KANELOIL/,https://www.screener.in/company/KANELOIL/
2299,WOOLWORTH,/company/WOOLWORTH/,https://www.screener.in/company/WOOLWORTH/
2300,TCIFINANCE,/company/TCIFINANCE/,https://www.screener.in/company/TCIFINANCE/
2301,QUINTEGRA,/company/QUINTEGRA/,https://www.screener.in/company/QUINTEGRA/
2302,BLUECHIP,/company/BLUECHIP/,https://www.screener.in/company/BLUECHIP/
2303,KRISNAFILA,/company/KRISNAFILA/,https://www.screener.in/company/KRISNAFILA/
2304,RAJASPETRO,/company/RAJASPETRO/,https://www.screener.in/company/RAJASPETRO/
2305,RAJVIR,/company/RAJVIR/,https://www.screener.in/company/RAJVIR/
2306,SSLFINANCE,/company/SSLFINANCE/,https://www.screener.in/company/SSLFINANCE/
2307,MADHURFOOD,/company/MADHURFOOD/,https://www.screener.in/company/MADHURFOOD/
2308,GALPOWTEL,/company/GALPOWTEL/,https://www.screener.in/company/GALPOWTEL/
2309,TMTINDIA,/company/TMTINDIA/,https://www.screener.in/company/TMTINDIA/
2310,Eureka Forbes Ltd,/company/543482/consolidated/,https://www.screener.in/company/543482/consolidated/
2311,National Standard (India) Ltd,/company/504882/,https://www.screener.in/company/504882/
2312,Kama Holdings Ltd,/company/532468/consolidated/,https://www.screener.in/company/532468/consolidated/
2313,India Infrastructure Trust,/company/542543/consolidated/,https://www.screener.in/company/542543/consolidated/
2314,Authum Investment & Infrastructure Ltd,/company/539177/consolidated/,https://www.screener.in/company/539177/consolidated/
